caseId,query,group,labelSource,relevantSetSize,topKRelevantHits,qrelsCoverageManualBinary,qrelsCoverageExpectedProductIds,qrelsCoverageExpectedClarification,qrelsCoverageCategoryCorpus,qrelsCoverageNonAmbiguousUnlabeled,baselineRecallAt10,improvedRecallAt10,baselineMRR,improvedMRR,baselineNdcgAt10,improvedNdcgAt10,baselineFailure,improvedFailure,clarificationNeeded,groupCoverage,rewriteStatus,rewriteLatencyMs,rewriteRetryCount,rewriteModel,baselineFailureNotes,improvedFailureNotes
combo-home-work-kit,bộ làm việc tại nhà,combo,manual_binary_qrels,3,3,40,32,8,0,0,0,1,0,1,0,1,true,false,false,0.6,fallback_timeout,10002,0,deepseek-v4-pro,"No relevant product matched expected categories: monitor, man-hinh, keyboard, mouse, webcam, phu-kien",
combo-teacher-home-office,combo dạy học online tại nhà,combo,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10001,0,deepseek-v4-pro,,
combo-online-learning,setup học online cho sinh viên,combo,manual_binary_qrels,3,3,40,32,8,0,0,0.3333,1,0.25,1,0.2021,1,false,false,false,0.5,fallback_timeout,10003,0,deepseek-v4-pro,,
ambiguous-strong-value,máy mạnh giá tốt,ambiguous,expected_clarification,0,0,40,32,8,0,0,0,0,0,0,0,0,true,false,true,0,fallback_timeout,10002,0,deepseek-v4-pro,Expected clarification was not produced,
ambiguous-study-machine,máy để học,ambiguous,expected_clarification,0,0,40,32,8,0,0,0,0,0,0,0,0,true,false,true,0,fallback_timeout,10003,0,deepseek-v4-pro,Expected clarification was not produced,
ambiguous-good-laptop,laptop tốt,ambiguous,expected_clarification,0,0,40,32,8,0,0,0,0,0,0,0,0,true,false,true,0,fallback_timeout,10003,0,deepseek-v4-pro,Expected clarification was not produced,
ambiguous-essential-accessories,phụ kiện cần thiết,ambiguous,expected_clarification,0,0,40,32,8,0,0,0,0,0,0,0,0,true,false,true,0,fallback_timeout,10002,0,deepseek-v4-pro,Expected clarification was not produced,
keyword-iphone-16,iPhone 16,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-samsung,Samsung,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10001,0,deepseek-v4-pro,,
keyword-ipad,iPad,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-apple-watch,Apple Watch,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-lenovo-laptop,Lenovo laptop,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-asus-tuf,ASUS TUF,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-ssd-nvme,SSD NVMe,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-ram-ddr5,RAM DDR5,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10003,0,deepseek-v4-pro,,
keyword-mainboard-b760,mainboard B760,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-psu,nguồn PSU,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-logitech-mouse,chuột Logitech,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-logitech-keyboard,bàn phím Logitech,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
need-gaming-laptop-rtx4060-25m,laptop gaming RTX 4060 tầm 25 triệu,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,2,0,deepseek-v4-pro,,
need-office-light-laptop-under-18m,laptop văn phòng nhẹ dưới 18 triệu,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,1,0,deepseek-v4-pro,,
need-student-laptop-under-15m,laptop sinh viên dưới 15 triệu,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,1,0,deepseek-v4-pro,,
need-ai-programming-laptop-five-models,laptop học lập trình AI 5 mẫu,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,2,0,deepseek-v4-pro,,
need-design-monitor-2k-color,màn hình thiết kế 2K màu tốt,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
need-camera-phone,điện thoại chụp ảnh đẹp,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
need-online-learning-tablet,máy tính bảng học online,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10003,0,deepseek-v4-pro,,
need-thin-light-usbc-laptop,laptop mỏng nhẹ có USB-C,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,1,0,deepseek-v4-pro,,
need-iphone-fast-power-bank,pin dự phòng sạc nhanh cho iPhone,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
need-laptop-nvme-1tb-upgrade,SSD NVMe 1000GB nâng cấp laptop,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0.5,fallback_timeout,10002,0,deepseek-v4-pro,,
need-ergonomic-gaming-chair,ghế công thái học/gaming,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,0.906,1,false,false,false,0,skipped_deterministic,2,0,deepseek-v4-pro,,
need-health-smartwatch,đồng hồ thông minh theo dõi sức khỏe,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
gift-girlfriend-iphone-user,quà cho bạn gái dùng iPhone,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,2,0,deepseek-v4-pro,,
gift-tech-student-under-2m,quà công nghệ cho sinh viên dưới 2 triệu,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10003,0,deepseek-v4-pro,,
gift-office-colleague,quà cho đồng nghiệp văn phòng,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10001,0,deepseek-v4-pro,,
gift-mobile-photography,quà cho người thích chụp ảnh điện thoại,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,2,0,deepseek-v4-pro,,
gift-macbook-user,quà cho người dùng MacBook,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,1,0,deepseek-v4-pro,,
gift-gamer-keyboard-mouse,chuột/bàn phím làm quà cho game thủ,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0.42857142857142855,fallback_timeout,10002,0,deepseek-v4-pro,,
gift-parents-smartwatch,quà cho bố mẹ là đồng hồ thông minh,gift,manual_binary_qrels,3,3,40,32,8,0,0,0,1,0,1,0,1,true,false,false,1,fallback_timeout,10002,0,deepseek-v4-pro,"No relevant product matched expected categories: watch, smartwatch, dong-ho-thong-minh",
gift-online-learning-student,quà học online cho học sinh,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10001,0,deepseek-v4-pro,,
technical-rtx4060-16gb-under-30m,laptop RTX 4060 RAM 16GB dưới 30 triệu,technical,expected_product_ids,1,0,40,32,8,0,0,0,0,0,0,0,0,true,true,false,0,fallback_timeout,10001,0,deepseek-v4-pro,No relevant product matched expected categories: laptop,No relevant product matched expected categories: laptop
technical-laptop-32gb-1tb,laptop RAM 32GB SSD 1TB,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0.5,fallback_timeout,10002,0,deepseek-v4-pro,,
technical-monitor-27-2k-144hz,màn hình 27 inch 2K 144Hz,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
technical-monitor-usbc,màn hình USB-C,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
technical-ssd-nvme-1tb-pcie,SSD NVMe 1000GB PCIe,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,1,0,deepseek-v4-pro,,
technical-ram-ddr5-16gb,RAM DDR5 16GB,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,1,0,deepseek-v4-pro,,
technical-psu-750w,nguồn máy tính 750W,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
technical-mainboard-b760,mainboard Intel B760,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10003,0,deepseek-v4-pro,,
technical-atx-case,case máy tính ATX,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
technical-logitech-wireless-mouse,chuột wireless Logitech,technical,expected_product_ids,2,2,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10003,0,deepseek-v4-pro,,
technical-usbc-hdmi-hub,hub USB-C HDMI,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10003,0,deepseek-v4-pro,,
technical-iphone-typec-fast-charger,sạc nhanh Type-C cho iPhone,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
combo-gaming-setup-peripherals,setup gaming gồm màn hình bàn phím chuột tai nghe,combo,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,0.9675,1,false,false,false,0.6666666666666666,fallback_timeout,10001,0,deepseek-v4-pro,,
combo-work-laptop-monitor-usbc-hub,combo laptop làm việc + màn hình + hub USB-C,combo,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0.6666666666666666,fallback_timeout,10001,0,deepseek-v4-pro,,
combo-basic-gaming-pc-build,build PC gaming cơ bản,combo,manual_binary_qrels,3,3,40,32,8,0,0,0,1,0,1,0,1,true,false,false,0.8333333333333334,fallback_timeout,10001,0,deepseek-v4-pro,"No relevant product matched expected categories: desktop, pc, cpu, mainboard, ram, ssd, psu, case, linh-kien-may-tinh",
combo-graphics-laptop-monitor-ssd,setup làm đồ họa gồm laptop màn hình SSD,combo,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0.3333333333333333,fallback_timeout,10001,0,deepseek-v4-pro,,
combo-online-teaching-kit,bộ dạy học online webcam micro tai nghe,combo,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0.3333333333333333,fallback_timeout,10002,0,deepseek-v4-pro,,
combo-beginner-streamer-kit,combo streamer mới bắt đầu webcam micro đèn,combo,manual_binary_qrels,3,3,40,32,8,0,0,0.3333,1,1,1,0.4693,1,false,false,false,0.42857142857142855,fallback_timeout,10003,0,deepseek-v4-pro,,
combo-dorm-laptop-mouse-headset,setup ký túc xá laptop chuột tai nghe,combo,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,1,fallback_timeout,10000,0,deepseek-v4-pro,,
combo-phone-travel-accessories,bộ phụ kiện du lịch cho điện thoại,combo,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,1,fallback_timeout,10001,0,deepseek-v4-pro,,
ambiguous-strong-config-value,máy cấu hình mạnh giá tốt,ambiguous,expected_clarification,0,0,40,32,8,0,0,0,0,0,0,0,0,true,false,true,0,fallback_timeout,10001,0,deepseek-v4-pro,Expected clarification was not produced,
ambiguous-learning-machine,máy học tập,ambiguous,expected_clarification,0,0,40,32,8,0,0,0,0,0,0,0,0,true,false,true,0,fallback_timeout,10003,0,deepseek-v4-pro,Expected clarification was not produced,
ambiguous-worth-buying-laptop,laptop đáng mua,ambiguous,expected_clarification,0,0,40,32,8,0,0,0,0,0,0,0,0,true,false,true,0,fallback_timeout,10001,0,deepseek-v4-pro,Expected clarification was not produced,
ambiguous-accessories-to-buy,phụ kiện nên mua,ambiguous,expected_clarification,0,0,40,32,8,0,0,0,0,0,0,0,0,true,false,true,0,fallback_timeout,10002,0,deepseek-v4-pro,Expected clarification was not produced,
